statement,target,result
Murders this year have spiked 27% in Philadelphia.,True,correct
"Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.",True,correct
"""Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities, (in the) 2018-19 school year. They contributed over $40 billion to the economy.",True,correct
"Says President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, Slow the testing down.""",True,correct
"""Our health department, our city and our county declared racism as a public health crisis last year.",True,correct
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,True,correct
"""If Roe is overturned, Wisconsin has a law on the books that would immediately make abortion a crime.",True,correct
"Today, the gap between African American and white homeownership is larger than it was in the late 1960s.",True,correct
Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,True,correct
Says gloves shouldnt be worn in public because if you are wearing the same set of gloves all over town you are only spreading germs everywhere you go.,True,correct
New York is one of only 12 states where the average gallon of gas costs more than $2.00.,True,correct
Says its illegal to hold an absentee-only election or mail ballots to every registered voter,True,correct
Small trials to test convalescent plasma therapy for coronavirus patients seem to have had some degree of success.,True,correct
Says Texas either is near the bottom or at the very bottom when it comes to testing per capita.,True,correct
"North Carolina is ""in the small minority of states that requires an absentee ballot to be signed by two witnesses or a notary public.""",True,correct
Virginia has lagged behind other states when it comes to (covid-19) testing.,True,correct
"Go look at other countries that went through exactly this, started to reopen, and then they saw the infection rate go back up again.",True,correct
Africans living in China now being forced to sleep outside in the cold as Chinese nationals blame them for the rising number of new coronavirus cases in the country.,True,correct
"Republicans have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",True,correct
"Says of the coronavirus threat, there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.",True,correct
"On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.",True,correct
Says longstanding Food and Drug Administration regulations created barriers to the private industry creating a test quickly for the coronavirus.,True,correct
No city in the state can quarantine itself without state approval.,True,correct
Says Spectrum will provide free internet to students during coronavirus school closures.,True,correct
"Some states are only getting 50 tests per day, and the Utah Jazz got 58.",True,correct
The average (Wisconsin) residents tax burden is at its lowest level in nearly 50 years while incomes continue to grow.,True,correct
"""@BernieSanders receives strong support from the conservative & most rural part of Vermont.""",True,correct
"The majority of hunters now want universal background checks, the majority of Trump voters.",True,correct
"From the moment we passed that signature legislation, Mike (Bloomberg) called it a disgrace.",True,correct
"""The president of the United States already has the legal authority to reduce the price of many commonly used prescription drugs.""",True,correct
"""More than 80% of Republicans think we ought to at least be doing universal background checks.""",True,correct
"""Twitter is banned in Iran.""",True,correct
"Witnesses have been part of ""every other impeachment trial the Senate has ever had.""",True,correct
"""We have the lowest corporate tax rate since 1968.""",True,correct
"Florida is ""the 45th in state education funding.""",True,correct
"A man at ""the storming of the U.S. embassy"" in Iraq visited the White House in 2011.",True,correct
"The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",True,correct
"""Last year, 36 million Americans didnt have a prescription filled because they couldnt affordit.""",True,correct
"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",True,correct
"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",True,correct
"Real wages ""went up last year 1.1%.""",True,correct
"California firefighters decided ""to speak out"" against President Trump because his tweet about the states wildfires ""contained so much misinformation.""",True,correct
"Says a newannual report shows that ""West Virginias tourism industry has grown for the second consecutive year, reversing years of decline and outpacing national growth by 58 percent.""",True,correct
Says the cartels are so bad in a Mexicanborder state that the U.S. government issued a Do Not Travel warning -- the same warning it issued for Syria.,True,correct
"""If we make no changes over the next 10 years, Americans will reach into their pockets and pay out about $11 trillion on insurance premiums, copays, deductibles and uncovered medical expenses.""",True,correct
"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region.""",True,correct
"Americans ""say that what they want is a choice"" to join a single-payer system like Medicare rather than ending private insurance.",True,correct
"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",True,correct
"Minneapolis ""city government preemptively informed the Target Center that it would be responsible for $530,000 in security and other costs"" related to a Trump rally, ""more than 26 times the estimated security costs for a 2009 Target Center health care rally held by President Barack Obama.""",True,correct
"""More than half of death row prisoners are people of color.""",True,correct
"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",True,correct
"""One unnamed donor gave $17 million to the Leo-affiliated Judicial Crisis Network to block the nomination of Judge Merrick Garland and to support Gorsuch; then a donor  perhaps the same one  gave another $17 million to prop up Kavanaugh.""",True,correct
"Thirty-four of the 47 men depicted in the famous ""Declaration of Independence"" painting were slaveholders.",True,correct
"""There are 390 million guns out on the streets of a country of 329 million people.""",True,correct
"""America has more governors whove worn blackface than black governors.""",True,correct
"Floridas red flag gun law has been used ""about five times a day.""",True,correct
"""The law says that mental health must be treated the same as physical health,"" but coverage by health insurers is unequal.",True,correct
"""If you go back, you can see Wayne LaPierre, who runs the NRA, testifying in front of Congress in favor of background checks 15 or 20 years ago.""",True,correct
"""More Americans are uninsured today than when (President Donald) Trump took office.""",True,correct
"""Studies show at the minimum wage, you cant rent a two-bedroom apartment anywhere in the United States...a modest, two-bedroom apartment.""",True,correct
"Rep. Ilhan Omar ""voted yes"" to ""provide further funding for the 9/11 First Responders Victims Fund"" while Sen. Rand Paul ""voted no.""",True,correct
"""Triggering leftists, Trump's reelection campaign is selling plastic straws.""",True,correct
"""Food Stamp participation hits 10 year low.""",True,correct
"""The wealthiest three families now own more wealth than the bottom half of the country.""",True,correct
"""The typical black family in this country has one-tenth the wealth of the typical white family.""",True,correct
"In 2018, when he ran for senator, ""young voter turnout in early voting was up 500%. We won more votes than any Democrat has in the history of the state of Texas.""",True,correct
"""The United States is the ONLY industrialized country without universal healthcare.""",True,correct
"""I actually in 2005 ran on Medicare for all.""",True,correct
"""Weve had a 30% increase in suicides in this country in just 15 years.""",True,correct
"""Texas actually leads in the number of (Confederate) monuments removed.""",True,correct
"""Im one of the first guys to introduce a climate change bill, way, way back in 87.""",True,correct
"""The unemployment rate for Wisconsin workers has reached historic lows. Its never been this low before, ever, ever, ever.""",True,correct
"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",True,correct
"""All the ponds in Missouri for which we have data are causing groundwater contamination.  This is a statewide issue.""",True,correct
"Says 74% of people in Texas are ""crammed into 4% of the land.""",True,correct
"""Big pharmaceuticals pay off  they literally pay off  generics to keep the prices and the competition off the market.""",True,correct
"""Since 2011, we have documentation of 1,671 dead bodies we have recovered in Texas, many in Brooks County.""",True,correct
"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",True,correct
"""In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants.""",True,correct
"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",True,correct
"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""",True,correct
"""Right now, 1 in 4 Texas women of reproductive age are uninsured, totaling 1.5 million Texas women.""",True,correct
"For Cabinet posts, ""I have the best voting record against Trump nominees of anyone else running for president""",True,correct
"Says an ICE detainer request ""is not a valid warrant.""",True,correct
"29 states still dont have ""comprehensive protections"" for people in the LGBTQ community.",True,correct
"California has ""the largest death row in the Western Hemisphere, the largest death row in the United States of America  two times the size of the next largest state: Florida.""",True,correct
"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",True,correct
"West Virginia has ""the nations lowest workforce participation rate, which hovers around 50 percent, when the national average is about 63 percent.""",True,correct
"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",True,correct
"""Todays minimum wage worker making $7.25 an hour has less buying power than a minimum wage worker in the 1960s.""",True,correct
"""I have more military experience than anybody whos arrived behind that desk since George H.W. Bush.""",True,correct
"New York has passed ""the best paid family leave"" program in the United States of America.",True,correct
"The National Defense Authorization Act for fiscal year 2019 ""includes the largest pay raise in nearly 10 years.""",True,correct
"The poverty rate in West Virginia ""was 19.1 percent, the fourth-highest in the country.""",True,correct
"Says Ann Coulter said, ""I am a settler. I am descended from settlers  not from immigrants.""",True,correct
"At General Motors, CEO Mary Barra ""took home almost 22 MILLION DOLLARS last year alone (295x your company's average employee).""",True,correct
"The United States ""spends more on potato chips than we do on ALL energy R&D.""",True,correct
"""We have lost more lives in the last two years"" due to opioids ""than all of the lives lost during the Vietnam War.""",True,correct
"Says Joe Manchin ""refused to commit to Kavanaugh until AFTER the Senate had the votes.""",True,correct
Trump supporters are heading to the border as the migrant caravan approaches.,True,correct
"""West Virginia added the highest percentage of new construction jobs in 2017 in the United States, at 14.4%. This amounted to 4,300 additional jobs! In fact, #WV was the only state with double-digit growth!""",True,correct
"""Household income among Hispanic Americans has just set a new record high.""",True,correct
"West Virginia ""has the highest overdose rate per capita of any state in our nation.""",True,correct
"""Matt Rosendale supports plans that dont have to cover (pre-existing conditions).""",True,correct
"""Black lung cases are at a 25-year high.""",True,correct
"""The poverty rates for African Americans and Hispanic Americans -- its been incredible, theyve all reached their lowest levels in the history of our country.""",True,correct
"Says Rick Scotts ""hospital company stole millions, defrauding the militarys health care program.""",True,correct
"""Since passage of the Tax Cuts and Jobs Act, Walmart 'increased their starting wage to $11/hr & has given about $400 million in bonuses.'""",True,correct
Most of Kathy Mannings donors are from out-of-state.,True,correct
"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",True,correct
"Says Sean Hannity told listeners of his radio show that ""Beto ORourke is asking for help in getting undocumented to vote.""",True,correct
"Says a Josh Hawley lawsuit ""would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA.""",True,correct
Says the Trump administration transferred $10 million from FEMA to ICE.,True,correct
"Says Texas ""high school graduation rates are at all-time highs.""",True,correct
"""For only the second time since 2000, there are more job openings than Americans who are unemployed.""",True,correct
"Says Beto ORourke ""has a criminal record that includes DWI and burglary arrests.""",True,correct
"Says Leah Vukmir ""claimed the open records law didn't apply to her, got sued, lost and cost taxpayers $15,000 in legal fees.""",True,correct
"In 2017, ICE ""arrested more than 127,000 illegal immigrants with criminal convictions or facing charges of breaking our nation's laws,"" and removed nearly 5,000 gang members.",True,correct
"""Lets talk about the facts and where we are today. There are still nearly 2,600 children who are separated from their parents""due to the Trump administrations zero-tolerance policy.",True,correct
"""The Railroad Commission of Texas has nothing to do with railroads.""",True,correct
"""The three wealthiest people"" own ""more wealth than the bottom half of the American people.""",True,correct
"""There isn't a system"" for reuniting families separated under Trumps zerotolerance border policy.",True,correct
"""Migrant mother and crying girl on Time cover never separated.""",True,correct
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",True,correct
"""When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years.""",True,correct
"Says most of Austins biggest parks have recycling though as ""many as 293 out of 300"" Austin city ""parks have no recycling, including almost every neighborhood park.""",True,correct
"Says ""our indicted Attorney General Ken Paxton is back to being the only statewide official in the country under indictment.""",True,correct
"""Weve been down this road beforeblanket protectionism is a big part of why America had a Great Depression.""",True,correct
"""Its against the law in Texas to let any loaded gun get in the hands of a child.""",True,correct
"""Democrats mistakenly tweet 2014 pictures from Obamas term showing children from the Border in steel cages.""",True,correct
"""Senator Cryin Chuck Schumer fought hard against the Bad Iran Deal, even going at it with President Obama, & then Voted AGAINST it! Now he says I should not have terminated the deal""",True,correct
"""Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago.""",True,correct
"""You know what Amazon paid in federal income taxes last year? Zero.""",True,correct
"After the minimum wage for tipped workers was raised in Maine, the state ""reversed that decision due to restaurant employees organizing en masse against the measure.""",True,correct
"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medicalmarijuana.",True,correct
"""Here are the facts: there is no massive wave of migrants pouring into California. Overall immigrant apprehensions on the border last year were as low as theyve been in nearly 50 years (and 85 percent of the apprehensions occurred outside of California).""",True,correct
"New York has ""among the highest tax burdens of any state in the nation""",True,correct
"West Virginia ""has the highest overdose death rate in the nation.""",True,correct
"""California is 49th out of 50 in the United States in per capita housing units. Only Utah can lay claim to being lowest in per capita production.""",True,correct
"""Half of the American women who are murdered are killed by their intimate partners.""",True,correct
Says China and Singapore impose the death penalty on drug dealers.,True,correct
"""We are last in the nation in startups  50th.""",True,correct
Says Stephen F. Austin and James Bowie promoted slavery.,True,correct
"""Its now constitutional to ban [assault weapons] in Illinois. Yet, the Illinois General Assembly has failed to allow other cities to have that opportunity.""",True,correct
"""The impending work stoppage is unlawful.""",True,correct
"About New York state: ""We have the highest debt per capita.""",True,correct
"Says that as a judge, she has ""presided over more than 10,000 cases.""",True,correct
"""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times.""",True,correct
"""Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.""",True,correct
"""New York consistently ranks as one of the worst voting turnout states in the nation.""",True,correct
"""New York has the third lowest rate of gun-caused death in America.""",True,correct
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",True,correct
"""Small business confidence is at an all-time high.""",True,correct
"Reauthorizing the Childrens Health Insurance Program ""for six years saves $1 billion"" and doing it for 10 years saves $6 billion.",True,correct
"Says Donald Trump's use of the term ""fake news"" to undermine journalism ""seems (to have) inspired dictators and authoritarians.""",True,correct
"""The graduation rate in New York City has increased by 50 percent in 13 years""",True,correct
"The White House staff risks violating federal ethics rules if they participatein Donald Trumps ""fake news awards.""",True,correct
These guys are now pretty much living up to the @BruceRauner standard. And falling dismally short of the @MittRomney standard. Even Romney released his full tax returns.,True,correct
"""The No. 1 job vacancy in Florida every month for seven years has been nursing.""",True,correct
"""When I saw corruption and sexual harassment cover-ups I called on Sheldon Silver to resign.""",True,correct
"""Were growing union jobs faster than Illinois.""",True,correct
"""Our tax code has nearly doubled since 1985.""",True,correct
"90 percent of Americans ""support universal background checks"" for gun purchases.",True,correct
"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",True,correct
"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",True,correct
The new tax will make soda sold in Chicago among the most expensive in the country.,True,correct
"The Inland Empire is ""the second fastest growing region"" for jobs in California.",True,correct
"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",True,correct
"Says Jon Ossoff ""doesn't even live in (his) district.""",True,correct
"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",True,correct
"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",True,correct
"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",True,correct
"""Pot today is not the weed baby boomers were smoking.""",True,correct
"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",True,correct
"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",True,correct
"""Planned Parenthood is the biggest abortion provider in the country.""",True,correct
"""General Flynn got his clearance from the Obama administration.""",True,correct
"""China account(s) for 90 percent of North Korean trade.""",True,correct
"The estimated price of President Trumps border wall is the same as the cost of ""one and a half aircraft carriers.""",True,correct
"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",True,correct
"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",True,correct
"Illegal immigrationon the U.S.-Mexico border is ""the lowest in 17 years.""",True,correct
"""Trump looking to open up E Coast & new areas for offshore oil drilling when Congress has passed no new safety standards since BP""",True,correct
"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter.""",True,correct
"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify.",True,correct
"Says President Donald Trump ""had a different opinion"" in 2013 than he does now about whether (Barack) Obama should have intervened in Syria after Obama's red line was crossed.",True,correct
"""Afghanistan has more hectares (of opium poppies) planted today than they had before we started this war.""",True,correct
"""2.1 million jobs have been created in the last six or seven years"" in California",True,correct
"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""",True,correct
"""South Florida ranks No. 1 in the gap between wages and housing.""",True,correct
"Small businesses ""create two out of every three American jobs.""",True,correct
"""Florida is now the only state in the nation to tax commercial leases.""",True,correct
"During his campaign for president, Donald Trump ""committed to honoring states' rights when it comes to marijuana legalization.""",True,correct
"""For every extra year a girl goes to school, her income goes up 12 percent.""",True,correct
"Says ExxonMobil ""fought to kill"" a rule requiring oil and mining companies to disclose payments made to foreign governments.",True,correct
"""Not a single Democrat opposed Neil Gorsuch's confirmation in 2006.""",True,correct
"""About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.""",True,correct
"""All of our taxpayers are paying roughly 22% of the U.N. budget.""",True,correct
"""The exodus of citizens from New York State has been growing.""",True,correct
"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureaus Supplemental Poverty Measure.",True,correct
"The uninsured rate in California reached ""a historic low of 7.4 percent in 2016.""",True,correct
"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens.""",True,correct
"""More college graduates are living at home than in decades.""",True,correct
"""Jackie Evanchos album sales have skyrocketed after announcing her inauguration performance.""",True,correct
"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""",True,correct
"Says Donald Trump ""thinks stop-and-frisk is fine.""",True,correct
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,True,correct
"Texas spends ""more per day to house an inmate than we do on a student.""",True,correct
"Says John Bolton supported the Iraq War and said last year that""I still think the decision to overthrow Saddam was correct.""",True,correct
"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",True,correct
"""Spanish was the first European language spoken in this country.""",True,correct
"Says Richard Burr ""was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.""",True,correct
"Says Russ Feingold said that with Obamacare, ""we could keep our doctors and our plans, it was rated as the Lie of the Year.""",True,correct
"Says Donald Trump ""wants to undo marriage equality.""",True,correct
"Department of Veterans Affairs doctors ""are prohibited from recommending medical marijuana.""",True,correct
"""Were already bombing seven countries.""",True,correct
"""Zephyr Teachout says she is against Super PACs despite taking money from Super PAC donors""",True,correct
"""We have 17 intelligence agencies, civilian and military, who have all concluded that these espionage attacks, these cyberattacks, come from the highest levels of the Kremlin, and they are designed to influence our election.""",True,correct
"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him.",True,correct
"""Marco Rubio made it clear: Not only does he think Donald Trump is a con man, hewent on to say he doesn't trust Donald Trump with the nuclear codes.""",True,correct
Says over 90 percent of Travis Countys eligible residents have registered to vote.,True,correct
"""We've had Muslims in America since George Washington.""",True,correct
"Says Donald Trumps tax plan gives the wealthy and corporations ""more than the Bush tax cuts by at least a factor of two.""",True,correct
"""When Moammar Gadhafi was set to visit the United Nations, and no one would let him stay in New York, Trump allowed Gadhafi to set up an elaborate tent at his Westchester County (New York) estate.""",True,correct
"""Trump Management was charged with discriminating against African-Americans and breaking federal law.""",True,correct
"Says Donald Trump'sfoundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""",True,correct
"Heroin comes in the United States ""from the southern border.""",True,correct
"""Heroin .. pours across our southern borders.""",True,correct
"Says Dick Cheney ""supported gay marriage sooner""than Hillary Clinton.",True,correct
"""As governor, Ted Strickland left only 89 cents in Ohios rainy day fund.""",True,correct
"Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.""",True,correct
"Tom Reed ""has actually voted for every single trade deal that has ever come before him in any form.""",True,correct
"""The Dallas Cowboys cant put a sticker on their helmets for the 5 police officers who were killed.""",True,correct
"Says Alex Jones ""said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there.""",True,correct
"Both the Democratic and Republican candidates for president in 2016 are ""quite unpopular.""",True,correct
"Says Marco Rubio ""voted against the bipartisan Violence Against Women Act.""",True,correct
"Says Scott Walker's ""listening sessions"" are ""invite-only and excluding the press.""",True,correct
"""Almost half a million people are still eligible (for DACA), particularly in the Asian-American and Pacific Islander community.""",True,correct
"""In Congress right now, we're doing the best job we have ever done in women in the federal legislature,"" but its still only ""19 percent.""",True,correct
"""Most Americans support"" the legalization of marijuana.",True,correct
"""50% of Hispanic students count on Pell Grants to pay for college.""",True,correct
"Donald Trump is ""against marriage equality. He wants to go back.""",True,correct
"""The mosquito population in South Florida is larger than it is in many other communities in the country.""",True,correct
"""Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.""",True,correct
"""Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.""",True,correct
"""I wake up every morning in a house (the White House) that was built by slaves.""",True,correct
"""An amendment, pushed by Lyndon Johnson many years ago, threatens religious institutions with a loss of their tax-exempt status if they openly advocate their political views.""",True,correct
"""Our trade deficit in goods reached nearly  $800 billion last year alone.""",True,correct
"""Forty-three million Americans are on food stamps.""",True,correct
"""For decades, the states gas tax has been among the highest in the nation.""",True,correct
"""A shocking 20 veterans are committing suicide each and every day, especially our older veterans.""",True,correct
"The United States is ""the oldest democracy"" in the world.",True,correct
"Says Donald Trump ""wants to get rid of the federal minimum wage.""",True,correct
"Proposed NClaw for body camera footage gives police ""broad authority to keep video footage secret  even from individuals who are filmed.""",True,correct
"""Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism.""",True,correct
"SaysDonald Trump called pregnant employees ""an inconvenience.""",True,correct
"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",True,correct
"Says Hillary Clinton ""said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.""",True,correct
"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",True,correct
"""Swaziland has the highest rate of HIV infection in the world.""",True,correct
"""Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband.""",True,correct
"""Only half of the murders in the city of St. Louis get solved.""",True,correct
"Says Donald Trump mocked ""someone with a disability.""",True,correct
"Since 1978, college ""tuition nationwide has gone up something like four times the rate of inflation.""",True,correct
"Sayvideo ""shows massive alligator strolling across Florida golf course.""",True,correct
"""Vietnamese is the third most commonly spoken language in Texas.""",True,correct
"""When I was secretary of state, I had a very high approval rating.""",True,correct
"""You can import as many hemp products into this country as you want...but we cant grow it.""",True,correct
"""We now do have evidence"" that Donald Trump is being used as a recruiting tool for terrorists.",True,correct
"Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average -- would get more tax relief than the bottom 60 percent of taxpayers combined.""",True,correct
"""The United States has a low voter turnout rate.""",True,correct
"""Austin is number one in Texas in startups, venture capital and patents.""",True,correct
"The city of Clarkston ""cant decriminalize marijuana. Only state legislators and Congress can do that.""",True,correct
"Says $15-an-hourproposal in Cleveland is ""the most aggressive minimum wage increase in the country.""",True,correct
"""Closing the tobacco loophole would save Missouri taxpayers $50,000,000""",True,correct
"North Carolina has ""one of the fastest growing populations as well as the fastest growing economy in the country.""",True,correct
"""Pat Toomey advocated for eliminating all corporate taxes.""",True,correct
"""I earned more votes in the state of Wisconsin than Donald Trump did in New York.""",True,correct
"""Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.""",True,correct
"States with ""the highest gun ownership rates also have the highest suicide rates.""",True,correct
"""More people are struck by lightning than commit in-person voter fraud"" by impersonation.",True,correct
"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.""",True,correct
"""According to the Centers for Disease Control and Prevention (CDC), about 120 Americans on average die from a drug overdose every day. Overall, drug overdose deaths now outnumber deaths from firearms.""",True,correct
"""Six justices"" on the U.S. Supreme Court have been ""confirmed in presidential election years since 1912.""",True,correct
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",True,correct
"""We understand that this heroin is primarily coming from Mexico, over the border.""",True,correct
"""The Walton family of Walmart ... This one family owns more wealth than the bottom 40 percent of the American people.""",True,correct
"""Theres no correlation between primary turnout and wins in the fall in the last 11 elections.""",True,correct
"""There have been multiple media reports about (Donald Trump's) business dealings with the mob, with the mafia.""",True,correct
"""Building a wall"" on the U.S.-Mexico border ""will take literally years.""",True,correct
"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",True,correct
"""The African-American community lost half of their wealth as a result of the Wall Street collapse.""",True,correct
"China is ""practicing how to blow up our satellites.""",True,correct
"""Texas is growing twice as fast as the rest of the country.""",True,correct
"""Our businesses have created jobs every single month since (Obamacare) became law.""",True,correct
"""Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.""",True,correct
"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",True,correct
"""Twenty-five percent of our kids in foster care are there because their parents are involved in drugs.""",True,correct
"""The world food demand is going to double sometime between now and 2070.""",True,correct
"Says President Barack Obama ""will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism.""",True,correct
"""More black babies are aborted in NYC than born.""",True,correct
"""Instead of fighting ISIS, (the Saudis) have focused more on a campaign to oust Iran-backed Houthi rebels in Yemen.""",True,correct
