statement,target,result
Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.,False,uncertain
"It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.",True,uncertain
Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.,False,uncertain
"He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' ",False,incorrect
Obamacare ... will kill jobs across America.,False,uncertain
"Last weeks three most-viewed television programs wereSunday Night Football, Thursday Night Football and Monday Night Football.",True,uncertain
On federal stimulus money for expanding rail service.,True,uncertain
"About 106,000 soldiers had a prescription of three weeks or more for pain, depression or anxiety medication.",True,uncertain
"If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for violations.",False,correct
John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.,True,incorrect
"Says that in 2015, illegal immigrants accounted for 75 percent of federal drug possession convictions and 5 percent to 30 percent of convictions for murder and kidnapping plus two other crimes.",True,incorrect
"Says his bill, HB 97, would prevent the use of taxpayer dollars on abortions.",False,incorrect
Federal health care reforms amounted to the government takeover of health care.,False,correct
"When he worked for ATT, he ""was responsible for large parts in a $5 billion organization.""",False,uncertain
Mitch McConnell voted with Harry Reid to infringe on our gun rights.,False,uncertain
"Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.",False,uncertain
Says House Democrats voted to use your tax dollars for abortions by voting against bill defunding Planned Parenthood.,False,correct
"McCain ""has opposed stem cell research.""",False,uncertain
"The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.",False,uncertain
"If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.",False,uncertain
The Cleveland police has issued a stand down order to officers.,False,uncertain
"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",True,uncertain
Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.,False,uncertain
"All four on Mount Rushmore, they were all independents at one critical point in their career.",False,correct
We didnt go out asking people to join the stand your ground task force.,False,uncertain
Rhode Islands exports have increased by 53 percent in the last two years.,True,uncertain
Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,False,uncertain
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Sean Duffys Republican Majority.,False,uncertain
Rhode Islands unemployment insurance system is the most expensive such system in the country.,False,uncertain
"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",True,incorrect
"Obama worked with ""Sen. Dick Lugar, a Republican, to help lock down loose nuclear weapons.""",True,correct
The United States is at historic record highs of individuals being apprehended on the border from countries with terrorist ties such as Pakistan or Afghanistan or Syria.,False,uncertain
"Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.",False,incorrect
Sayvideo shows massive alligator strolling across Florida golf course.,True,uncertain
"If you look at the number of illegal immigrants coming into the country, it is net zero. Its been that way now for almost two years.",True,uncertain
Wisconsins lawsuit rules are so anti-business that the states system is one of the most promiscuous in America.,False,uncertain
"Says Joseph Stalin said if you want to bring America down you, have to undermine three things: our spiritual life, our patriotism and our morality.",False,uncertain
Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China.,False,uncertain
"In 2011, Alabama and Massachusetts passed legislation allowing non-citizens who are legal residents to vote in state and local elections.",False,correct
The Red Sox waited 87 long years to win the World Series.,False,incorrect
Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,True,correct
"The largest tax increase that we have ever had in our state is yours it is the business margins tax that you signed, governor.",False,uncertain
Georgia has the second-highest rate of childhood obesity in the United States.,True,uncertain
We are giving almost $2 billion of taxpayer money to the junk food and fast food industries every year to make the (childhood obesity) epidemic worse.,False,uncertain
A bill by Earl Blumenauer would mandate GPS tracking devices on all our vehicles.,False,uncertain
There is a precedent for not nominating someone to the U.S. Supreme Court in the middle of a presidential election.,False,incorrect
Four out of 10 homicides are committed by gun in this city.,True,uncertain
A picture shows former President Bill Clinton naked with another woman.,False,correct
"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.",False,uncertain
"Says it probably costs more than $300,000 to run for a seat on the Pedernales Electric Cooperative board of directors.",False,uncertain
Wind power is the most undependable form of renewable energy.,False,uncertain
The House has never failed to pass a budget in the modern era.,True,incorrect
"Tommy Thompson created the first school choice program in the nation, giving thousands of Milwaukee students the choice of where they go to school no matter where they live or how much money their parents make.",True,correct
"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",False,uncertain
"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",True,incorrect
"Obama ""won health care for 150,000 people.""",True,uncertain
State governments have little ability to stimulate job growth in the short run.,True,uncertain
He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.,True,uncertain
"Sarah Palin ""already has more executive experience"" than Barack Obama and Joe Biden ""combined.""",True,uncertain
"Texas has, now, the highest share of minimum-wage workers in the nation.",True,uncertain
Nothing in the Constitution explicitly guarantees our right to vote.,True,correct
"On the new dollar coins, ""'In God We Trust' is gone!""",False,uncertain
"If you look at most of the polls, this is a margin-of-error race on Fourth of July between Mitt Romney and the president.",True,uncertain
"In the last 10 years, Georgias middle class income has dropped $6,500.",True,uncertain
Rooting for the Red Sox is like rooting for the drug companies.,True,uncertain
"Says Rick Perrys Pay to Play politics led him to send $899 million to an offshore call center in Bermuda, driving down enrollment in childrens health insurance",False,uncertain
On allowing a vote on universal gun background checks in the U.S. Senate.,True,uncertain
Obama has more czars than the Romanovs.,True,uncertain
Gov. McDonnells proposed budget is cutting public education.,False,uncertain
A [bank] surveillance camera capturing a criminals face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.,False,uncertain
"Medicare costs have slowed down dramatically. In fact, the first two months of this fiscal year, Medicare costs were down even in nominal terms relative to the previous year.",True,uncertain
I have spent virtually every weekend since Memorial Day in the Panhandle.,True,uncertain
"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",False,uncertain
Im not a conspiracy theorist and I never allow conspiracy theorists on my program.,False,uncertain
Theres been no conclusive or specific report to say Russia was trying to muddy the election.,False,uncertain
Says Christopher Little has a history of working against environmental protection by defending the worst types of corporate polluters,False,uncertain
"There is nothing in the current state public records law that prohibits sensitive or confidential business information from being just that, confidential.",True,correct
Says Gov. Scott Walker dropped out or was kicked out of college short of a degree not long after he was kicked out of student elections at Marquette University.,False,uncertain
The U.S. doesnt make television sets anymore.,True,incorrect
Wisconsins projected state budget shortfall is now as low as $1.5 billion,False,uncertain
Heroin .. pours across our southern borders.,True,uncertain
"Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.",True,correct
"Sen. McCain was already turning his sights to Iraq just days after 9/11, and he became a leading supporter of an invasion and occupation of (Iraq).",True,uncertain
"Brazil built a $300 million stadium in the Amazon rainforest that is only going to be used for four World Cup games, and theres no team that can fill it afterwards.",True,uncertain
"Says Ohio Rep. Marcy Kaptur actually lives in a fancy condo in the Washington, D.C. suburbs.",False,uncertain
"U.S. Rep. Jim Langevin didn't want a border fence to block illegal immigration ""because he is afraid that someone will get hurt trying to go around the fence.""",False,uncertain
Says Mitt Romney supports cap and trade.,False,correct
"The State Election Board has issued nearly $275,000 in fines to violators of absentee ballot laws.",True,uncertain
"Dark money spending in the 2016 election cycle is 10 times what it was at the same point in the 2012 election cycle, when it topped $308 million.",True,correct
Says there is an upcoming vote to preserve benefits of Texas homestead exemption for seniors and the disabled.,False,uncertain
The government is trying to now close the Lincoln Memorial for any kind of large gatherings.,False,uncertain
More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.,True,correct
"There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.",True,uncertain
Says One of the states largest governments made charging this tax one of their top priorities just this year.,False,uncertain
The immigration bill has a specific provision that says that Secretary Napolitano does not have to build any fence if she chooses not to.,False,uncertain
On redistricting.,False,uncertain
"The Trans-Pacific Partnership was designed for China to come in, as they always do, through the back door and totally take advantage of everyone.",False,correct
More women are graduating from college now than men.,True,uncertain
"Says the stimulus bill sent tax credits overseas, such as half a billion to an electric car company that created hundreds of jobs in Finland.",False,uncertain
Health insurance companies' costs are only 4 percent of all health care spending.,True,incorrect
Says Larry Taylor gave in-state tuition to illegal immigrants.,False,correct
"After the attack on a U.S. diplomatic mission in Benghazi,Libya,the ambassadors body was dragged through the street.",False,correct
Six thousand people have sought addiction treatment through expanded Medicaid.,False,uncertain
The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.,False,uncertain
About 78 to 81 House Democrats are members of the Communist Party. ... Its called the Congressional Progressive Caucus.,False,correct
Bill McCollum backed Jim Greers effort to hide financial irregularities.,False,uncertain
Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,False,uncertain
Halliburton gave Dick Cheney a $34 million payout when he left the company to join the presidential ticket.,True,uncertain
Fox News is banned in Canada because it violatesa law thatprevents news channels from lying to their viewers.,False,correct
Says under President Barack Obama theres been the lowest discretionary spending weve had in decades in the United States.,False,correct
"In one year, (President Obama) provided $90 billion in breaks to the green energy world into solar and wind, to Solyndra and Fisker and Tesla and Ener1.",False,uncertain
Youve been tremendously deceived by people who say the Earth is not flat.,False,correct
Hedge fund managers pay less in taxes than nurses and truck drivers.,False,uncertain
Wisconsin law says all recall petition signers must sign in the presence of another person.,False,correct
"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",False,uncertain
"Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.",True,incorrect
Jules Bailey was instrumental in creating the Business Energy Tax Credit that let companies like Wal-Mart profit by $11 million while costing the Oregon general fund $33 million.,False,uncertain
"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",False,uncertain
David Perdue has never voted in a Republican primary until his name was on the ballot.,False,uncertain
The War in Afghanistan is officially the longest war Americans have ever been asked to endure.,True,correct
Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark.,False,correct
Says Oregon state employees received a catch-up pay raise in 1981 -- just two years after they agreed not to take a raise in exchange for a retirement benefit.,False,uncertain
"All of Texas is conservative, except a little bit of Austin.",False,uncertain
"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation.",True,uncertain
The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been.,True,uncertain
Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,False,correct
"Scientists have shown us (that) the greater possibilities, the real science movement, has been with adult stem cell research. It has not been with embryonic.",False,uncertain
Elorza wants to teach our public school children about the non-existence of God.,False,uncertain
On implementing a sales tax.,False,uncertain
"A few weeks ago, (the) education committee in Congress is deciding whats going to be in your local salad bar.",False,correct
Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,True,uncertain
"A proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",False,uncertain
Warren Buffett called (Jeff) Greenes scheme financial weapons of mass destruction.,False,uncertain
"Its not true that since hes been the president, executions in Iran have increased by four times.",False,uncertain
Over half the people on disability are either anxious or their back hurts.,False,uncertain
"Today California is kicking our butt, creating more jobs and more economic growth than Texas.",True,uncertain
One of every two Wisconsin residents are on some kind of government handout.,False,uncertain
"A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention, Control and Countermeasure Program when dealing with spilt milk -- the same regulations oil and natural gas producers must follow.",False,correct
"Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.",True,uncertain
"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",False,correct
"Your tax dollars are not being used to sue you, the people.",False,uncertain
Felony crimes in the city of Atlanta are the lowest they have been since 1969.,True,uncertain
Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,True,uncertain
Says he came to the Republican Party sooner in age than Ronald Reagan.,True,uncertain
"Fluoride in the water, that was originally done by the Nazis!",False,correct
He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq.,True,uncertain
"Presidents Hoover, Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens.",False,correct
We now work the longest hours of any people around the world.,False,uncertain
The Republican National Convention is a Super Bowl times four.,False,uncertain
Says more Republicans than Democrats voted for the Wall Street bailouts.,False,uncertain
A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret.,False,correct
"George Allen voted for budgets that increased the national debt by $16,400 for every second he served in the U.S. Senate.",True,uncertain
"This town (Wilmington, Ohio) hasnt taken any money from the government. They dont want any money from the government.",False,uncertain
"We were not, I repeat, were not told that waterboarding or any of these other enhanced interrogation methods were used.",False,uncertain
22 Countries Invaded by the U.S. in 20 Years.,False,uncertain
The U.S. Constitution is the oldest written constitution still in use today among nations.,True,correct
Says Donald Trumpsfoundation took money other people gave to his charity and then bought a six-foot-tall painting of himself.,True,uncertain
On Common Core.,False,uncertain
Says Ron Johnson helped companies ship jobs overseas.,False,uncertain
Florida Democrats just voted to impose Sharia law on women.,False,correct
Says Bill Clinton opposes President Barack Obamas plan to raise taxes on wealthy Americans.,False,correct
Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.,True,uncertain
Our economy is not growing.,False,uncertain
Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps.,False,uncertain
"For at least a year now, I have called for two additional brigades, perhaps three.",True,uncertain
Says Hillary Clinton wants to go to a single-payer plan for health care,False,uncertain
Foreign aid is less than 1 percent of our federal budget.,True,uncertain
"Obama has ""visited more countries and met with more world leaders than any president in his first six months in office.""",True,correct
"Says Texas has so few gas-pump inspectors in the field, the HEBs of this state, the Brookshires of this state, theyre calibrating their own gas pumps. The (Texas Department of Agriculture) just sends them the stickers and they calibrate them.",False,incorrect
Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,False,uncertain
Lorain is the poorest urban school district in the state of Ohio.,False,uncertain
The Senate health care bill does not contain limits on medical malpractice lawsuits.,True,uncertain
Says President Barack Obama said that American exceptionalism is no more exceptional than the exceptionalism of any other country.,False,uncertain
"George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' ",True,correct
I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.,True,uncertain
Says the fluoride Austin is putting in its drinking water is toxic waste.,False,correct
The U.S. Supreme Court struck down Wisconsins photo ID election law,False,correct
"A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.",True,uncertain
The people of Tiverton have historically supported [gambling measures] at a rate higher than the rest of the state.,True,uncertain
We know how to stop AIDS: persuade men not to have sex with men.,False,correct
And weve constantly been the lowest unemployed county in the state.,False,uncertain
The federal government can tell General Motors what to charge for its automobiles.,False,correct
A few weeks ago Obama took Hamas and Iran OFF the terror list.,False,correct
"Once a woman enters into the sex trade, her average life expectancy is seven years.",False,correct
The Electric Reliability Council of Texas (ERCOT) has estimated that the Obama administrations Power Plan will cause energy costs in Texas to rise as much as 16 percent per year.,False,correct
"We are almost halfway to our goal of 1,000 rapes prosecuted!",True,incorrect
"One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we dont care.",True,uncertain
"Says kids who start in the ninth grade in the city of Newark this past September, 23 percent of them will graduate in four years.",False,uncertain
"Says McCain was a ""Hanoi Hilton songbird"" who collaborated with the enemy.",False,correct
On whether hes had a relationship with Vladimir Putin.,False,uncertain
Says Gov. Chris Christies poll ratings have been going up.,False,uncertain
All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,True,uncertain
On debating.,False,uncertain
Virtually every person across this country has seen premiums going up and up and up due to Obamacare.,False,uncertain
"The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around.",True,correct
The Affordable Care Act will likely go down as the biggest tax increase in history.,False,uncertain
"New Jersey loses net, that is minus those who come into the state, 30,000 students a year.",True,uncertain
All the talk about socialism during the campaign made young people more interested in it by Election Day.,False,uncertain
Ive done more impeachments than anybody else in the history of the country.,True,incorrect
"Says Marco Rubio believes the earth is 9,000 years old and that humans hunted dinosaurs to extinction; says Rand Paul believes the earth is 10,000 years old and God removed dinosaurs to make space for humans.",False,uncertain
A $250 fine if youre caught with a plastic bag coming out of a store. Plastic bag police anyone?,False,uncertain
"In countries where there are higher, more strict gun laws, there is more gun violence.",False,correct
Says Donald Trump wants to undo marriage equality.,True,uncertain
"The Border Patrol has 20,000 agents more than twice as many as there were in 2004.",True,uncertain
Abortions account for 94 percent of the services provided for pregnant women by Planned Parenthood.,False,uncertain
"While (Charlie Crist) was governor, utility costs went up 30 percent and went from below the national average to above the national average. Since I got elected, utility rates have come down 11 percent and now we are below the average.",False,uncertain
On supporting right to work legislation in 2015,False,uncertain
"POTUS economists: Stimulus Has Cost $278,000 per job.",False,uncertain
"Says Donald Trumps conversion to pro-life beliefs are akin to Justin Biebers, who said in the past that abortion was no big deal to him.",False,uncertain
"Before I was state treasurer, my Rhode Island business helped create over 1,000 jobs.",True,uncertain
Says Bill White profiteered in the aftermath of Hurricane Rita.,False,uncertain
Metro on whether it could use bond money for restoration.,False,uncertain
Barack Obama thinks terrorists just need a good talking to.,False,correct
"A majority of Americans agree with a ban on assault weapons. And by the way, so did Ronald Reagan.",True,uncertain
"Only 42 percent of young Georgians have a college certificate or degree, but soon 60 percent of jobs will require some college credential.",True,uncertain
Says HJM 20 was the only bill not assigned to a House committee.,False,uncertain
"Illinois suffered 1,652 overdose deaths in 2014 ... of which 40 percent were associated with heroin. Illinois is ranked number one in the nation for a decline in treatment capacity between 2007 and 2012, and is now ranked the third worst in the country for state-funded treatment capacity.",True,uncertain
The minimum wage has risen $2.35 in the last two years. Thats 31 percent.,False,uncertain
The music industry is the biggest export from Africa after oil and gas.,False,uncertain
"The average family (is) now bringing home $4,000 less than they did just five years ago.",True,uncertain
On the Troubled Asset Relief Program (TARP),True,uncertain
Says there are four super PACs on the Republican side of the Texas U.S. Senate race.,True,uncertain
"Unfortunately, since Mr. Fosters been mayor ... there are less people employed in the city of St. Petersburg than there were prior to his taking office.",False,uncertain
"Says U.S. Rep. Ron Kinds stimulus cost taxpayers $278,000 per job.",False,uncertain
"Under the White Houses budget proposal, we will not be adding more to the national debt by the middle of the decade.",False,uncertain
Says CharlieCrist made it easier for Duke to take your money.,False,uncertain
We havent yet taken out a negative ad.,False,uncertain
